Experiment,T=0hr O2 conc.,Incubation Time (h),Max O2 conc.,Max Conc Diff,End O2 conc.,End Conc Diff,Water Volume (L),Flux (mmol O2 m-2 -1),Total O2 production (umol),Layer 0-2 cm nodule weight (g),Layer 2-5 cm nodule weight (g),Notes
AKS268_Ch3,200.43,47.0,464.78,264.34,460.61,260.18,3.81,10.46,1007.68,656.00,126.00,
AKS273_Ch3,192.47,47.0,528.44,335.97,523.49,331.02,4.60,16.06,1544.78,535.00,118.00,
AKS276_Ch3,196.36,47.0,366.94,170.58,344.04,147.67,3.93,6.13,670.87,336.00,54.00,
AKS279_Ch3,190.22,47.0,542.08,351.86,526.16,335.94,4.66,16.51,1639.31,363.00,46.55,1
AKS282_Ch3,189.40,47.0,242.80,53.40,224.86,35.46,4.60,1.72,245.53,,15.50,7
AKS286_Ch3,186.71,47.0,241.02,54.31,225.08,38.36,6.05,2.45,328.58,454.00,11.99,
AKS313_Ch1,165.42,47.0,318.77,153.34,318.16,152.74,,,,,,2
AKS313_Ch2,188.14,47.0,300.89,112.76,282.56,94.42,,,,,,2
AKS316_Ch1,164.96,47.0,466.70,301.74,428.65,263.68,2.12,5.89,638.93,512.00,0.00,1
AKS316_Ch3,188.12,47.0,818.65,630.53,798.46,610.34,2.42,15.58,1525.89,662.00,0.00,1
AKS318_Ch1,161.00,47.0,150.80,-10.21,150.86,-10.15,,,,,,2
AKS318_Ch3,183.96,46.8,308.51,124.55,308.40,124.44,2.78,3.67,346.62,596.00,0.00,4
AKS321_Ch1,161.69,47.0,146.53,-15.16,146.68,-15.01,,,,,,2
AKS321_Ch3,192.09,45.7,217.88,25.79,194.54,2.45,2.78,0.07,71.77,651.00,212.00,3
AKS328_Ch2,162.83,47.0,232.58,69.74,214.72,51.88,3.69,2.02,257.38,620.00,9.70,4
AKS328_Ch3,183.33,47.0,362.55,179.22,341.49,158.16,3.81,6.36,683.08,539.00,17.39,
AKS329_Ch1,195.59,47.0,429.12,233.53,428.94,233.34,3.87,9.53,904.23,628.00,127.00,
AKS329_Ch2,200.47,47.0,400.25,199.77,398.85,198.38,3.87,8.10,773.52,658.00,46.00,
AKS331_Ch2,200.11,46.5,222.13,22.02,195.01,-5.11,2.72,-0.14,59.95,666.00,38.00,6
AKS331_Ch3,202.89,47.0,247.46,44.57,216.59,13.70,3.21,0.46,142.91,574.00,34.00,
AKS334_Ch2,196.65,47.0,606.32,409.67,605.71,409.06,4.17,18.02,1710.16,626.00,41.00,
AKS334_Ch3,206.08,47.0,332.86,126.78,310.51,104.43,5.14,5.67,651.96,601.00,20.00,
AKS336_Ch3,201.22,47.0,515.82,314.60,505.16,303.94,4.48,14.36,1408.47,607.00,15.00,
AKS254_Ch3,88.71,36.6,157.02,68.30,156.84,68.13,6.29,5.81,429.77,0.00,0.00,5
AKS257_Ch3,85.99,38.0,176.86,90.87,176.61,90.63,8.47,10.02,769.69,0.00,0.00,5
AKS261_Ch2,86.06,39.0,216.91,130.84,213.75,127.68,,,,0.00,0.00,2
AKS261_Ch3,79.82,39.0,143.39,63.57,140.42,60.60,4.52,3.48,287.18,0.00,0.00,5
